


Concurrency: 200 | Throughput: 3609.095045 | median: 43.814707 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003407307s | size: 216164 | mean: 55.453447 | min: 6.927843 | max: 6735.129855
Concurrency: 200 | Throughput: 2341.027230 | median: 41.680711 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.613135194s | size: 141738 | mean: 77.839860 | min: 6.955557 | max: 13226.062811
Concurrency: 200 | Throughput: 3730.691302 | median: 40.881236 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002552308s | size: 223451 | mean: 53.647458 | min: 6.520057 | max: 6449.339054
Concurrency: 300 | Throughput: 1234.239838 | median: 57.204227 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004545062s | size: 73460 | mean: 244.803272 | min: 8.075482 | max: 18642.190293
Concurrency: 300 | Throughput: 3024.156354 | median: 59.023219 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009794055s | size: 180879 | mean: 99.401957 | min: 6.758714 | max: 10972.740304
Concurrency: 300 | Throughput: 867.607517 | median: 57.573196 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.895455459s | size: 57745 | mean: 63.597066 | min: 9.603499 | max: 54800.465268
Concurrency: 300 | Throughput: 2538.107100 | median: 59.763452 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002984113s | size: 151694 | mean: 118.503900 | min: 6.760187 | max: 15763.786530
Concurrency: 300 | Throughput: 3278.543321 | median: 57.657116 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003477388s | size: 196124 | mean: 91.655598 | min: 6.602590 | max: 6099.376157

Concurrency: 600 | Throughput: 2821.310068 | median: 110.081541 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.372552409s | size: 171951 | mean: 191.510412 | min: 7.804642 | max: 7902.364464
Concurrency: 600 | Throughput: 2160.074776 | median: 118.250091 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006718959s | size: 128419 | mean: 279.574198 | min: 7.343264 | max: 14156.511405
Concurrency: 600 | Throughput: 3116.106346 | median: 113.956536 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.016886224s | size: 185822 | mean: 193.335421 | min: 7.442580 | max: 20954.574473
Concurrency: 600 | Throughput: 2482.742508 | median: 111.219436 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006222772s | size: 147780 | mean: 243.031576 | min: 9.306880 | max: 32075.385752
Concurrency: 800 | Throughput: 3183.184223 | median: 149.022613 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005637942s | size: 189486 | mean: 252.459838 | min: 0.049191 | max: 7051.879318


Concurrency: 800 | Throughput: 2227.246909 | median: 150.673840 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000532247s | size: 132206 | mean: 361.946976 | min: 7.119359 | max: 26296.439084
Concurrency: 800 | Throughput: 2052.437584 | median: 147.128654 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000850185s | size: 122290 | mean: 391.324686 | min: 8.802883 | max: 27115.097251
Concurrency: 1000 | Throughput: 2088.144413 | median: 189.490932 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.016442924s | size: 124702 | mean: 479.481628 | min: 0.048803 | max: 28389.995637

Concurrency: 1000 | Throughput: 2925.406091 | median: 184.145324 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003635227s | size: 173565 | mean: 344.408356 | min: 0.048722 | max: 16867.032907
Concurrency: 1000 | Throughput: 4332.248219 | median: 201.629707 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.315681459s | size: 268519 | mean: 208.180477 | min: 0.043913 | max: 7601.212784



Concurrency: 10 | Throughput: 671.683358 | median: 8.910663 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.010890817s | size: 40960 | mean: 14.544512 | min: 6.401338 | max: 10509.707930
Concurrency: 10 | Throughput: 522.880774 | median: 8.790599 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000293734s | size: 31352 | mean: 19.130543 | min: 6.450249 | max: 15728.535148
Concurrency: 10 | Throughput: 463.250865 | median: 9.105139 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00420534s | size: 27778 | mean: 21.594622 | min: 6.445259 | max: 27841.838719
Concurrency: 20 | Throughput: 1208.483614 | median: 9.206143 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002468503s | size: 72472 | mean: 16.551925 | min: 6.422675 | max: 11107.757949
Concurrency: 20 | Throughput: 1525.055766 | median: 9.166905 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005018872s | size: 91471 | mean: 13.114130 | min: 6.427343 | max: 5134.027910
Concurrency: 20 | Throughput: 814.040136 | median: 9.239578 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.388618467s | size: 54015 | mean: 23.027988 | min: 6.482116 | max: 26974.866220

Concurrency: 20 | Throughput: 1373.182132 | median: 9.095530 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.088366679s | size: 87970 | mean: 12.635815 | min: 6.455541 | max: 12133.855202
Concurrency: 30 | Throughput: 1707.406248 | median: 10.232481 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001537504s | size: 102394 | mean: 17.573333 | min: 6.463015 | max: 10562.289694
Concurrency: 30 | Throughput: 2247.157628 | median: 10.200739 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002021367s | size: 134776 | mean: 13.345603 | min: 6.449111 | max: 5926.974144
Concurrency: 30 | Throughput: 1371.216881 | median: 13.690702 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000719881s | size: 82214 | mean: 21.886692 | min: 6.428652 | max: 12676.481803

Concurrency: 30 | Throughput: 1432.251812 | median: 10.368592 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.354956881s | size: 89285 | mean: 20.119747 | min: 6.454722 | max: 24790.595356
Concurrency: 60 | Throughput: 1199.220648 | median: 17.717625 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002302419s | size: 71836 | mean: 50.099437 | min: 6.702877 | max: 14147.126303
Concurrency: 60 | Throughput: 2084.583396 | median: 14.725987 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009592432s | size: 124975 | mean: 28.791439 | min: 6.474926 | max: 26787.155137
Concurrency: 60 | Throughput: 2103.595956 | median: 15.682684 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.23248319s | size: 130794 | mean: 26.808762 | min: 6.567246 | max: 6816.745010
Concurrency: 60 | Throughput: 3031.208870 | median: 15.305095 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001144025s | size: 181757 | mean: 19.793816 | min: 6.520964 | max: 5542.750307

Concurrency: 80 | Throughput: 2916.218285 | median: 18.766902 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002709985s | size: 174821 | mean: 27.437846 | min: 6.682472 | max: 12880.719150
Concurrency: 80 | Throughput: 2548.873204 | median: 19.574364 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000238432s | size: 152775 | mean: 31.396008 | min: 6.563200 | max: 8720.730331


Concurrency: 80 | Throughput: 3290.403275 | median: 20.380202 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005410737s | size: 197285 | mean: 24.303724 | min: 6.650878 | max: 6131.641097



Concurrency: 100 | Throughput: 1436.901367 | median: 26.578288 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.901599662s | size: 95934 | mean: 47.229374 | min: 12.786134 | max: 22468.832454

Concurrency: 200 | Throughput: 3145.843757 | median: 43.257042 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.036675235s | size: 188503 | mean: 63.486272 | min: 6.730836 | max: 6818.280025
Concurrency: 200 | Throughput: 2032.054753 | median: 42.955679 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000351766s | size: 121530 | mean: 98.645778 | min: 7.650693 | max: 14378.628804
Concurrency: 200 | Throughput: 1708.587318 | median: 45.303238 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.017418453s | size: 102144 | mean: 117.348174 | min: 8.632561 | max: 13847.019965
Concurrency: 200 | Throughput: 1966.990894 | median: 42.760567 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.368879575s | size: 126213 | mean: 93.252498 | min: 7.045391 | max: 27564.070146
Concurrency: 200 | Throughput: 1142.961015 | median: 45.403448 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.120194902s | size: 69625 | mean: 97.880539 | min: 7.906465 | max: 27170.974100
Concurrency: 300 | Throughput: 3162.250966 | median: 63.898051 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.975946941s | size: 201708 | mean: 77.190966 | min: 6.799377 | max: 12055.053688
Concurrency: 300 | Throughput: 1768.325771 | median: 66.316598 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003084125s | size: 105505 | mean: 170.329271 | min: 8.356482 | max: 28626.616776
Concurrency: 300 | Throughput: 3152.199278 | median: 63.937720 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006041281s | size: 188551 | mean: 95.305306 | min: 6.923548 | max: 6421.328070
Concurrency: 300 | Throughput: 1949.769349 | median: 66.354863 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005046283s | size: 116396 | mean: 154.429917 | min: 7.245457 | max: 27651.354899
Concurrency: 300 | Throughput: 1796.774560 | median: 63.332526 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m7.613935928s | size: 120887 | mean: 106.823440 | min: 9.016263 | max: 25544.338016

Concurrency: 600 | Throughput: 3351.845398 | median: 129.547004 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006944264s | size: 199933 | mean: 179.640600 | min: 7.370799 | max: 6008.983687
Concurrency: 600 | Throughput: 3808.239627 | median: 129.369823 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.630838129s | size: 233505 | mean: 135.845648 | min: 6.755553 | max: 8738.581656


Concurrency: 800 | Throughput: 2287.069774 | median: 169.945629 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.887862817s | size: 144816 | mean: 280.774668 | min: 0.049255 | max: 13023.687173
Concurrency: 800 | Throughput: 2858.360911 | median: 172.865579 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010966185s | size: 169932 | mean: 281.047732 | min: 0.049232 | max: 6620.065150
Concurrency: 800 | Throughput: 328.408121 | median: 156.127426 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00765124s | size: 19546 | mean: 2447.920927 | min: 23.044613 | max: 55629.190429

Concurrency: 800 | Throughput: 1348.978865 | median: 175.501627 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.026885593s | size: 79632 | mean: 549.476500 | min: 15.590514 | max: 20653.241167
Concurrency: 1000 | Throughput: 3463.594976 | median: 229.645696 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003262925s | size: 206922 | mean: 288.959326 | min: 0.042420 | max: 7224.893071
Concurrency: 1000 | Throughput: 3018.528260 | median: 209.709112 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002088558s | size: 179118 | mean: 333.790373 | min: 0.041950 | max: 15662.024347
Concurrency: 1000 | Throughput: 4089.115530 | median: 223.257570 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.014445224s | size: 243408 | mean: 245.428780 | min: 0.044969 | max: 5987.886045




